consommation,previsionJ
73999,74600
74292,74750
74586,74900
74160,74350
73735,73800
73023,73050
72310,72300
71823,71600
71335,70900
70639,70050
69942,69200
69318,68500
68694,67800
68825,68400
68956,69000
69833,70050
70711,71100
70340,70700
69969,70300
69989,69700
70010,69200
69664,68650
69317,68100
68366,67250
67414,66400
67650,67100
67887,67800
67836,67800
67786,67800
67670,67150
67554,66500
66848,65750
66141,65000
65820,64750
65499,64500
65121,64150
64743,63800
64870,64050
64997,64300
65218,64700
65440,65100
66654,66200
67869,67300
68767,68400
69666,69500
71449,71350
73232,73200
74730,74700
76228,76200
78083,77750
79937,79300
81117,80700
82296,82100
82770,82400
83244,82700
83582,83000
83919,83300
84067,83400
84215,83500
83912,83050
83609,82600
83223,82200
82836,81800
82373,81350
81911,80900
81573,80700
81236,80500
81211,80550
81186,80600
80820,79900
80455,79200
80109,79700
79762,80200
78923,78500
78083,76800
77208,75850
76333,74900
75461,74700
74589,74500
73782,73200
72975,71900
72451,71250
71928,70600
71543,70250
71158,69900
71051,69900
70944,69900
70968,70450
70991,71000
71812,72100
72633,73200
74395,75050
76157,76900
77885,78400
79613,79900
80800,80950
81988,82000
81915,81350
81843,80700
81033,79750
80223,78800
79021,77700
77818,76600
76814,75600
75810,74600
74999,73700
74188,72800
73459,72050
72729,71300
72862,71700
72996,72100
74022,73350
75048,74600
74635,74200
74223,73800
74094,73200
73965,73000
73564,72400
73164,71800
72168,70900
71173,70000
71204,70550
71234,71100
71159,71250
71085,71400
71057,70750
71029,70100
70328,69450
69628,68800
69154,68300
68680,67800
68360,67500
68039,67200
